label,message
not spam,Lunch was amazing today. We should go again!
not spam,Please review the attached document and share feedback.
not spam,Lunch was amazing today. We should go again!
not spam,Just checking in. How’s everything going?
not spam,Please review the attached document and share feedback.
not spam,"Hey, are we still meeting for coffee tomorrow?"
not spam,"Hey, are we still meeting for coffee tomorrow?"
spam,Get rich quick! Earn $5000/week from home. Limited time offer!
not spam,Just checking in. How’s everything going?
not spam,Happy birthday! Hope you have a wonderful day.
not spam,Happy birthday! Hope you have a wonderful day.
not spam,Please review the attached document and share feedback.
spam,Get rich quick! Earn $5000/week from home. Limited time offer!
not spam,Lunch was amazing today. We should go again!
not spam,Lunch was amazing today. We should go again!
spam,Get your credit score boosted instantly. Sign up now!
spam,FREE entry in 2 a weekly competition to win an iPad. Text WIN to 80000.
not spam,Happy birthday! Hope you have a wonderful day.
not spam,Just checking in. How’s everything going?
not spam,"I’ll be late to the party, stuck in traffic."
spam,Get your credit score boosted instantly. Sign up now!
not spam,Had a great time at the concert last night!
not spam,Had a great time at the concert last night!
not spam,"Hey, are we still meeting for coffee tomorrow?"
spam,Get your credit score boosted instantly. Sign up now!
not spam,Lunch was amazing today. We should go again!
not spam,"I’ll be late to the party, stuck in traffic."
not spam,Lunch was amazing today. We should go again!
spam,"URGENT: You have won a lottery. Contact us to receive $1,000,000."
not spam,Please review the attached document and share feedback.
not spam,"Hey, are we still meeting for coffee tomorrow?"
not spam,Lunch was amazing today. We should go again!
not spam,"I’ll be late to the party, stuck in traffic."
not spam,Meeting rescheduled to 3 PM. Let me know if that works.
not spam,Don't forget to submit your assignment by tonight.
not spam,"I’ll be late to the party, stuck in traffic."
not spam,Don't forget to submit your assignment by tonight.
not spam,Please review the attached document and share feedback.
not spam,Don't forget to submit your assignment by tonight.
not spam,"I’ll be late to the party, stuck in traffic."
not spam,Please review the attached document and share feedback.
not spam,Can you send me the files we discussed?
spam,FREE entry in 2 a weekly competition to win an iPad. Text WIN to 80000.
not spam,Can you send me the files we discussed?
spam,FREE entry in 2 a weekly competition to win an iPad. Text WIN to 80000.
not spam,Please review the attached document and share feedback.
not spam,"I’ll be late to the party, stuck in traffic."
spam,FREE entry in 2 a weekly competition to win an iPad. Text WIN to 80000.
not spam,"Hey, are we still meeting for coffee tomorrow?"
not spam,Don't forget to submit your assignment by tonight.
not spam,"I’ll be late to the party, stuck in traffic."
not spam,Please review the attached document and share feedback.
not spam,Happy birthday! Hope you have a wonderful day.
not spam,Just checking in. How’s everything going?
not spam,Just checking in. How’s everything going?
not spam,Can you send me the files we discussed?
not spam,Can you send me the files we discussed?
